Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
PPP1R37	0.262862537757745	0.31851433613777	0.825276943402783	-0.277049759980543	45	24	1107	1107	0.040650406504065	0.021680216802168	0.0138798945335317	0.0102617618555805	0.00140390330971772	0.00186593279381566
MTRNR2L1	0.591650895209113	0.820482973955532	0.721100758930774	-0.471727234514963	201	152	1107	1107	0.181571815718157	0.137308039747064	0.0052748319059855	0.0273417755506872	0.0014197552113988	0.00188669068708705
FAM46C	1.16601352938146	1.90755640787526	0.611260314278323	-0.710141190883609	73	105	1107	1107	0.0659439927732611	0.0948509485094851	0.0151943933383934	0.00951070401167661	0.00142228530607979	0.00188974151458542
RAB40C	1.9322693683805	1.55664038479768	1.24130748967536	0.311860536000483	94	63	1107	1107	0.0849141824751581	0.0569105691056911	0.0127775418061199	0.0113138281248384	0.00142275865422587	0.00189005905885877
PDDC1	2.43336101736341	2.99963408993299	0.811219283555271	-0.301836147724982	144	105	1107	1107	0.130081300813008	0.0948509485094851	0.0104688432425082	0.013875909156807	0.00142896217840181	0.00189798747839436
TEFM	4.29850868180861	2.87904708520631	1.49303174091736	0.578244836589199	155	116	1107	1107	0.140018066847335	0.104787714543812	0.0136232485532213	0.0106979942749643	0.0014331741246126	0.00190326845298875
RP5-994D16.9	0.432954508274299	0.35188507209158	1.23038611925436	0.299111132570485	41	21	1107	1107	0.037037037037037	0.018970189701897	0.0137575769842487	0.0106066976055906	0.00143477311817738	0.00190499832702151
C1QTNF3	0.753630282452212	0.492866257450337	1.52907664312595	0.612660721863219	58	34	1107	1107	0.0523938572719061	0.030713640469738	0.0139032984677569	0.010496961472262	0.00143494914279674	0.00190499832702151
ZNF568	2.29223616250689	1.4864473664906	1.54209036537817	0.624887308614223	107	74	1107	1107	0.0966576332429991	0.0668473351400181	0.0128754986471638	0.0113440761366269	0.00143599350182467	0.00190607103229361
C4orf46	1.95737966256344	1.04326759364745	1.87620096174952	0.907814364629262	111	78	1107	1107	0.100271002710027	0.0704607046070461	0.0147555369994166	0.00991809674655263	0.00143852085157109	0.00190911151356275
E2F2	0.251807056403475	0.0963369905294593	2.61381484951488	1.386156950947	34	16	1107	1107	0.030713640469738	0.014453477868112	0.0142232690401424	0.0102990741059694	0.00143975390284245	0.00191011930028365
TOR1B	2.43257256953626	2.11620818531653	1.14949587021487	0.201001282905825	109	76	1107	1107	0.0984643179765131	0.0686540198735321	0.0138033851789593	0.0106123009200027	0.00143974662244441	0.00191011930028365
