"gene"	"Mean_cloneA"	"Mean_cloneB_del7"	"log2fc"	"ExpressingCells_cloneA"	"nCells_cloneA"	"nCells_cloneB_del7"	"ExpressingCells_cloneB_del7"	"ExpressingFraction_cloneA"	"ExpressingFraction_cloneB_del7"	"chisq.test.p"	"fisher.test.p"	"wilcoxon"	"combined.fisher"	"p.adjusted"	"class"	"Name"
"CLK2"	"CLK2"	0.17935357260348	0.289334193682645	0.109980621079165	584	248	32	24	0.0547945205479452	0.0967741935483871	0.0394618087420046	0.0336937726972743	0.0302215939421507	0.00803385964632156	0.0380869068703567	"NA"	NA
"CCZ1B"	"CCZ1B"	0.461659696655943	0.226431380716513	-0.235228315939429	584	248	99	28	0.169520547945205	0.112903225806452	0.0486464716196742	0.0448559585673922	0.0228000670953003	0.00806443549740914	0.0382167809601606	"NA"	NA
"METAP2"	"METAP2"	0.799965452889001	0.980334881925031	0.18036942903603	584	248	143	80	0.24486301369863	0.32258064516129	0.0257840240771758	0.0259219106071193	0.0394710156526779	0.0080675012438783	0.0382167809601606	"NA"	NA
"C20orf112"	"C20orf112"	0.286993062713609	0.369484068523468	0.0824910058098585	584	248	54	36	0.0924657534246575	0.145161290322581	0.0343087466767612	0.0282848376258194	0.0362193997578509	0.00807642114283379	0.0382442295293012	"NA"	NA
"ZNF135"	"ZNF135"	0.0768658533589311	0.155649519064134	0.0787836657052026	584	248	15	14	0.0256849315068493	0.0564516129032258	0.0447956269648058	0.0371556833399936	0.0275979176921259	0.00808302652739232	0.0382607011950377	"NA"	NA
"WDR27"	"WDR27"	0.112669355304674	0.0220438163524037	-0.0906255389522703	584	248	20	2	0.0342465753424658	0.00806451612903226	0.0552626793854844	0.0326010957933334	0.0314856213954014	0.00809022709811972	0.0382799763235085	"NA"	NA
"ABHD17B"	"ABHD17B"	0.371326609349366	0.461039934530219	0.0897133251808531	584	248	71	45	0.121575342465753	0.181451612903226	0.0299108646564699	0.0282946784913909	0.0363281119502739	0.00810004267942496	0.0382980620279931	"NA"	NA
"EFNB1"	"EFNB1"	0.114074203409505	0.175672200286128	0.0615979968766229	584	248	23	19	0.0393835616438356	0.0766129032258065	0.0384071760893421	0.0362374407981185	0.028366545101457	0.00810030929457716	0.0382980620279931	"NA"	NA
"YOD1"	"YOD1"	0.13202614132667	0.202843933588805	0.0708177922621349	584	248	23	19	0.0393835616438356	0.0766129032258065	0.0384071760893421	0.0362374407981185	0.0284867697889245	0.00813027462693914	0.038424890048369	"NA"	NA
"MAP2K3"	"MAP2K3"	0.318884974779841	0.431985665386002	0.113100690606161	584	248	62	40	0.106164383561644	0.161290322580645	0.0355463675382997	0.0286281222002106	0.036160293047247	0.00815030474221702	0.0385046829443118	"NA"	NA
"C15orf57"	"C15orf57"	0.0907126716061161	0.0254718754363205	-0.0652407961697956	584	248	20	2	0.0342465753424658	0.00806451612903226	0.0552626793854844	0.0326010957933334	0.0318457247476444	0.00817094897284963	0.0385873144082547	"NA"	NA
"SACM1L"	"SACM1L"	0.0869984896247593	0.0223517780310576	-0.0646467115937017	584	248	20	2	0.0342465753424658	0.00806451612903226	0.0552626793854844	0.0326010957933334	0.0319363003618162	0.00819123172733755	0.0386681757005024	"NA"	NA
"OPTN"	"OPTN"	0.717726894146376	0.928900118393559	0.211173224247183	584	248	121	69	0.207191780821918	0.278225806451613	0.0321654045123372	0.0301147142368943	0.0346327844898243	0.00820357794184065	0.0387115232149488	"NA"	NA
"NUDT16"	"NUDT16"	0.0843345976152442	0.163509704273528	0.0791751066582842	584	248	15	14	0.0256849315068493	0.0564516129032258	0.0447956269648058	0.0371556833399936	0.0282338187200625	0.00824537516320154	0.0388787709044062	"NA"	NA
"CHMP6"	"CHMP6"	0.0557739586618779	0.110643674112458	0.0548697154505799	584	248	15	14	0.0256849315068493	0.0564516129032258	0.0447956269648058	0.0371556833399936	0.0282338187200625	0.00824537516320154	0.0388787709044062	"NA"	NA
"ATP6V1E2"	"ATP6V1E2"	0.0456518539087394	0.158754141699058	0.113102287790319	584	248	9	10	0.0154109589041096	0.0403225806451613	0.0515862099034388	0.039862673903065	0.0263313513170289	0.00824943084963119	0.038882910584009	"NA"	NA
"PI4K2B"	"PI4K2B"	0.0378332968913976	0.130870397312472	0.0930371004210746	584	248	12	12	0.0205479452054795	0.0483870967741935	0.0490568673441047	0.0395441785002474	0.0265986586081142	0.0082644095373402	0.0389321713876926	"NA"	NA
"C4orf32"	"C4orf32"	0.126608427128417	0.17273902657893	0.0461305994505128	584	248	23	19	0.0393835616438356	0.0766129032258065	0.0384071760893421	0.0362374407981185	0.0290332275840788	0.00826624560846889	0.0389321713876926	"NA"	NA
"PRPS1"	"PRPS1"	0.15138140530097	0.28013262776233	0.12875122246136	584	248	38	27	0.0650684931506849	0.108870967741935	0.0441929566645171	0.0347013649350167	0.0303837572796181	0.00828179467717665	0.0389903961792741	"NA"	NA
"RALA"	"RALA"	1.14079837906882	0.810427237925977	-0.330371141142839	584	248	183	60	0.313356164383562	0.241935483870968	0.0467034270672351	0.0452896639112118	0.0233027054963312	0.00828874395731331	0.0390081042544945	"NA"	NA
"RAP1B"	"RAP1B"	1.58394725188174	1.82923491434463	0.245287662462882	584	248	292	145	0.5	0.584677419354839	0.0306644421034027	0.0277575419702245	0.0381370419340157	0.00831080055298066	0.0390968687298237	"NA"	NA
"XIAP"	"XIAP"	0.166258799947222	0.312106801098827	0.145848001151605	584	248	34	25	0.0582191780821918	0.100806451612903	0.0412090241980654	0.037818692550589	0.028037514589114	0.00832279900944143	0.0391382662104248	"NA"	NA
"CASC3"	"CASC3"	0.468333378628742	0.635375244992983	0.167041866364241	584	248	88	53	0.150684931506849	0.213709677419355	0.0343933039962821	0.0335496289307667	0.0316241659421226	0.00832716097159614	0.0391437347861892	"NA"	NA
"CLSTN1"	"CLSTN1"	0.2368144025816	0.355847767403588	0.119033364821987	584	248	39	28	0.0667808219178082	0.112903225806452	0.0359873356624513	0.03574823650013	0.0298139293972372	0.00836013524622879	0.0392784058948131	"NA"	NA
"UBE2Q1"	"UBE2Q1"	0.17187669176526	0.302679301709317	0.130802609944057	584	248	34	25	0.0582191780821918	0.100806451612903	0.0412090241980654	0.037818692550589	0.0281898028859809	0.00836223008793626	0.0392784058948131	"NA"	NA
"CBWD2"	"CBWD2"	0.748060490055538	0.834148653558562	0.0860881635030233	584	248	165	91	0.282534246575342	0.366935483870968	0.0197725420343763	0.0173308280585137	0.0615796127405339	0.00836992318015052	0.0392994551160099	"NA"	NA
"SNX10"	"SNX10"	0.329107026600527	0.157596076135605	-0.171510950464922	584	248	63	15	0.107876712328767	0.0604838709677419	0.0438820941591926	0.0368885706985836	0.0289977343218275	0.00838674853060885	0.0393633506024281	"NA"	NA
"ZNF33A"	"ZNF33A"	0.190262242380189	0.285379001464951	0.0951167590847624	584	248	32	24	0.0547945205479452	0.0967741935483871	0.0394618087420046	0.0336937726972743	0.0318058678735966	0.00840025449730964	0.0394116234774083	"NA"	NA
"VMA21"	"VMA21"	0.417825317436015	0.564834477076607	0.147009159640592	584	248	76	47	0.13013698630137	0.189516129032258	0.0356862998841805	0.0325015501137227	0.0330539580822603	0.00841834050788847	0.0394813393846391	"NA"	NA
"LTBP3"	"LTBP3"	0.156799101230976	0.232040664319918	0.0752415630889416	584	248	32	24	0.0547945205479452	0.0967741935483871	0.0394618087420046	0.0336937726972743	0.031979761074769	0.00844030636173224	0.0395691910506344	"NA"	NA
"TGDS"	"TGDS"	0.0883461329835847	0.14663928548324	0.0582931524996559	584	248	15	14	0.0256849315068493	0.0564516129032258	0.0447956269648058	0.0371556833399936	0.0291012986676016	0.00846599113386867	0.0396744034906232	"NA"	NA
"TNIP2"	"TNIP2"	0.584421340708255	0.707386171325182	0.122964830616927	584	248	84	52	0.143835616438356	0.209677419354839	0.0246575262354093	0.0238453033857467	0.045433923381923	0.00848037940709306	0.0397259933151465	"NA"	NA
"CENPC"	"CENPC"	0.641828290508033	0.846807415495538	0.204979124987505	584	248	113	65	0.193493150684932	0.262096774193548	0.0344477564999988	0.033308490110395	0.0325395034656558	0.00848349301507664	0.0397259933151465	"NA"	NA
"CMSS1"	"CMSS1"	0.254932596886965	0.401134478143816	0.146201881256851	584	248	47	32	0.0804794520547945	0.129032258064516	0.0397867365380893	0.0378843687028095	0.0288469844625248	0.00854495594307171	0.0399985007342867	"NA"	NA
"LCK"	"LCK"	0.551974221361599	0.678466839979625	0.126492618618026	584	248	75	47	0.128424657534247	0.189516129032258	0.0298967674417595	0.0247531860845801	0.0445526161826496	0.00861289163739747	0.0403010868356388	"NA"	NA
"CCDC88C"	"CCDC88C"	0.244301364969539	0.357132367579468	0.112831002609929	584	248	51	34	0.0873287671232877	0.137096774193548	0.0410575859082337	0.0336655998481759	0.0328358740741618	0.00863073177766257	0.0403691261588223	"NA"	NA
"ATP6V1E1"	"ATP6V1E1"	0.76293797024905	0.96181494583601	0.198876975586959	584	248	111	65	0.190068493150685	0.262096774193548	0.0254721448389033	0.0256822086904237	0.0432832635504332	0.00867271973128414	0.0405500185831076	"NA"	NA
"PRKAR2A"	"PRKAR2A"	0.145425942611106	0.18451333720508	0.0390873945939745	584	248	23	19	0.0393835616438356	0.0766129032258065	0.0384071760893421	0.0362374407981185	0.0307270598083341	0.00868537117883464	0.0405936599481362	"NA"	NA
"USP1"	"USP1"	0.236600342755382	0.351621816589006	0.115021473833623	584	248	45	31	0.0770547945205479	0.125	0.0390032275031684	0.0348407279133431	0.0321081433240924	0.00872072778321608	0.0407433467565605	"NA"	NA
"MNAT1"	"MNAT1"	0.228794687526807	0.337808420360206	0.109013732833399	584	248	39	28	0.0667808219178082	0.112903225806452	0.0359873356624513	0.03574823650013	0.0313578088554366	0.00873645914949184	0.0407888343836271	"NA"	NA
"NOC4L"	"NOC4L"	0.171787644222717	0.281923602464408	0.110135958241691	584	248	27	21	0.0462328767123288	0.0846774193548387	0.0441230029864803	0.0347250319793297	0.0322846430737861	0.00873713100028495	0.0407888343836271	"NA"	NA
"AC023490.1"	"AC023490.1"	0.0479589362937574	0.112450349807014	0.0644914135132566	584	248	9	10	0.0154109589041096	0.0403225806451613	0.0515862099034388	0.039862673903065	0.0282012289689167	0.0087581262106738	0.0408712556498111	"NA"	NA
"LRMP"	"LRMP"	0.539487067745313	0.730101849123213	0.190614781377901	584	248	97	57	0.166095890410959	0.229838709677419	0.0386511112584049	0.0322093128584541	0.0349752344815133	0.00877409464509366	0.0409301647264072	"NA"	NA
"MAP3K14-AS1"	"MAP3K14-AS1"	0.0542954989257751	0.146012811157095	0.0917173122313195	584	248	9	10	0.0154109589041096	0.0403225806451613	0.0515862099034388	0.039862673903065	0.0282888760456137	0.00878184646880366	0.0409507139452293	"NA"	NA
"RP11-493K19.3"	"RP11-493K19.3"	0.0519427852642105	0.110810684584364	0.0588678993201539	584	248	9	10	0.0154109589041096	0.0403225806451613	0.0515862099034388	0.039862673903065	0.028376757731563	0.00880561935168583	0.0410459270046582	"NA"	NA
"COMMD3"	"COMMD3"	1.51660644096544	1.72730575293344	0.210699311967998	584	248	235	124	0.402397260273973	0.5	0.0116188438992579	0.0114876688178264	0.0986745254850245	0.00882167463241488	0.0411011985889856	"NA"	NA
"WDR18"	"WDR18"	0.767550237716801	0.922067076595458	0.154516838878657	584	248	119	69	0.203767123287671	0.278225806451613	0.0239201936679535	0.0232840855640586	0.0486990078681847	0.00882419489157119	0.0411011985889856	"NA"	NA
"AKR1C3"	"AKR1C3"	1.74523863225514	1.94708643451447	0.201847802259338	584	248	247	130	0.422945205479452	0.524193548387097	0.00912338808518236	0.00775616643000115	0.146420507568356	0.00883606190955491	0.0411408118437267	"NA"	NA
"NAB1"	"NAB1"	0.282935555162615	0.150208221643029	-0.132727333519586	584	248	63	15	0.107876712328767	0.0604838709677419	0.0438820941591926	0.0368885706985836	0.03083514605856	0.00884828335114991	0.0411820445358198	"NA"	NA
"RP11-410L14.2"	"RP11-410L14.2"	0.0456186252595274	0.10404312562785	0.058424500368323	584	248	12	12	0.0205479452054795	0.0483870967741935	0.0490568673441047	0.0395441785002474	0.028829272205171	0.00886567132853738	0.0412472830326933	"NA"	NA
"WBP11"	"WBP11"	0.667830435057904	0.732941582334993	0.0651111472770891	584	248	126	73	0.215753424657534	0.294354838709677	0.0191692003224903	0.016556924503352	0.0689807778889327	0.0088797625686833	0.0412971397911094	"NA"	NA
"ARRB1"	"ARRB1"	0.0863124784870479	0.175756695542601	0.0894442170555529	584	248	20	17	0.0342465753424658	0.0685483870967742	0.0442593833551205	0.0413105418761338	0.0276809898952933	0.00888929504361568	0.041325765255958	"NA"	NA
"PRADC1"	"PRADC1"	0.180289778735002	0.293186831368929	0.112897052633927	584	248	27	21	0.0462328767123288	0.0846774193548387	0.0441230029864803	0.0347250319793297	0.0329835736035072	0.00890175000397623	0.0413569768456195	"NA"	NA
"ATXN7L3B"	"ATXN7L3B"	0.433435300778455	0.551366091623586	0.117930790845131	584	248	96	57	0.164383561643836	0.229838709677419	0.0330546952699847	0.0311502392516869	0.0367735880760696	0.00890276863446893	0.0413569768456195	"NA"	NA
"GTF2I"	"GTF2I"	0.287278301558785	0.152447271908949	-0.134831029649837	584	248	63	15	0.107876712328767	0.0604838709677419	0.0438820941591926	0.0368885706985836	0.0311265159330446	0.00892109440195702	0.041426379924989	"NA"	NA
"ZSCAN2"	"ZSCAN2"	0.308827685660942	0.45113791321503	0.142310227554088	584	248	51	34	0.0873287671232877	0.137096774193548	0.0410575859082337	0.0336655998481759	0.0341341802446993	0.00892742334411986	0.0414400425032817	"NA"	NA
"C6orf57"	"C6orf57"	0.0395719586334679	0.0971201175470704	0.0575481589136024	584	248	9	10	0.0154109589041096	0.0403225806451613	0.0515862099034388	0.039862673903065	0.0289090025227965	0.00894936630950125	0.0415261456818571	"NA"	NA
"IWS1"	"IWS1"	0.357213196512868	0.499715935691834	0.142502739178966	584	248	60	39	0.102739726027397	0.157258064516129	0.03532958411829	0.0345643474824967	0.0334092070305247	0.00896544847713574	0.0415849990774196	"NA"	NA
"VPS36"	"VPS36"	0.458976969267205	0.615758277808046	0.15678130854084	584	248	88	53	0.150684931506849	0.213709677419355	0.0343933039962821	0.0335496289307667	0.0344824812270498	0.00897969806123688	0.0416353109046209	"NA"	NA
"MRPL43"	"MRPL43"	0.15931186564564	0.249695553060292	0.0903836874146515	584	248	27	21	0.0462328767123288	0.0846774193548387	0.0441230029864803	0.0347250319793297	0.0334350590240321	0.00900781418879671	0.0417498539447411	"NA"	NA
"NCBP2"	"NCBP2"	0.654754555230815	0.85006998618316	0.195315430952344	584	248	108	63	0.184931506849315	0.254032258064516	0.0305859190103801	0.0307177209549866	0.0378629227415724	0.00902152666256948	0.0417975767675881	"NA"	NA
"IER5"	"IER5"	0.661225372684172	0.843617318047831	0.182391945363658	584	248	119	68	0.203767123287671	0.274193548387097	0.0327420188286833	0.0293355611085663	0.0397291828796086	0.00903784277841044	0.041840794690654	"NA"	NA
"UBE2D3"	"UBE2D3"	3.88492764942134	4.25383331952496	0.368905670103621	584	248	464	218	0.794520547945205	0.879032258064516	0.00507991925426036	0.00410939565497939	0.283661375351654	0.00903918660198035	0.041840794690654	"NA"	NA
"BCLAF1"	"BCLAF1"	2.21773147626123	2.45962919736274	0.241897721101511	584	248	306	155	0.523972602739726	0.625	0.00917751118951281	0.00765606495416141	0.152292603290657	0.00904111320383207	0.041840794690654	"NA"	NA
"EIF2AK3"	"EIF2AK3"	0.0424834636451875	0.0765323816504244	0.034048918005237	584	248	9	10	0.0154109589041096	0.0403225806451613	0.0515862099034388	0.039862673903065	0.0292685877717517	0.00904626038535941	0.0418475750683346	"NA"	NA
"ABHD12"	"ABHD12"	0.20175207294951	0.306063185637123	0.104311112687614	584	248	47	32	0.0804794520547945	0.129032258064516	0.0397867365380893	0.0378843687028095	0.0308093240717449	0.00904941840722568	0.0418475750683346	"NA"	NA
"NIN"	"NIN"	0.831309810587202	1.02148868455795	0.19017887397075	584	248	133	75	0.227739726027397	0.30241935483871	0.0286727370133454	0.0284625829708218	0.041110915295435	0.00906920852998838	0.0419232472886051	"NA"	NA
"NCLN"	"NCLN"	0.398060672832518	0.515354085115254	0.117293412282736	584	248	72	45	0.123287671232877	0.181451612903226	0.0358616231600145	0.0295872121355986	0.0396221545545256	0.00908396512006031	0.0419667639512566	"NA"	NA
"VIMP"	"VIMP"	0.556498353172795	0.727223886814455	0.17072553364166	584	248	92	55	0.157534246575342	0.221774193548387	0.0337622509248122	0.0289647339621172	0.0404814302743283	0.00908548199631241	0.0419667639512566	"NA"	NA
"NMRAL1"	"NMRAL1"	0.369254630230998	0.567500465804002	0.198245835573003	584	248	59	38	0.101027397260274	0.153225806451613	0.0425729466341023	0.0341341854219277	0.0344179920648397	0.0091009762940473	0.0420224701637596	"NA"	NA
"TOP1"	"TOP1"	0.434869891600302	0.606312677695102	0.1714427860948	584	248	81	49	0.138698630136986	0.19758064516129	0.0418260328198693	0.0368187164877131	0.0319876783030575	0.00912064002629106	0.0420973788614475	"NA"	NA
"CMTM6"	"CMTM6"	0.345952118622889	0.507270643930964	0.161318525308075	584	248	96	56	0.164383561643836	0.225806451612903	0.0455903242640111	0.0395802909568818	0.0298590090714655	0.0091481693908207	0.0422085221214488	"NA"	NA
"FAM162A"	"FAM162A"	0.311537454708578	0.508144786833145	0.196607332124566	584	248	55	36	0.0941780821917808	0.145161290322581	0.0419720016558463	0.0385309089083946	0.0307364138937331	0.00916484123617322	0.0422695052264664	"NA"	NA
"CCDC51"	"CCDC51"	0.0413768993414577	0	-0.0413768993414576	584	248	11	0	0.0188356164383562	0	0.0651903238975843	0.0399496012837193	0.0297377753203256	0.00918983768582638	0.0423688221265153	"NA"	NA
"SNN"	"SNN"	0.476274100304693	0.62703060492836	0.150756504623667	584	248	78	48	0.133561643835616	0.193548387096774	0.0355449706350431	0.0341100106123812	0.0350863731675335	0.00924897167093209	0.0426099563039607	"NA"	NA
"PGAP2"	"PGAP2"	0.276196549527037	0.413152185460896	0.136955635933859	584	248	45	31	0.0770547945205479	0.125	0.0390032275031684	0.0348407279133431	0.0343510710245006	0.00924910460471719	0.0426099563039607	"NA"	NA
"AGBL5"	"AGBL5"	0.170534985125186	0.270177152826736	0.0996421677015504	584	248	34	25	0.0582191780821918	0.100806451612903	0.0412090241980654	0.037818692550589	0.0316687969359367	0.00925486472578373	0.0426122098757728	"NA"	NA
"IQCG"	"IQCG"	0.0653888580093792	0.133221471594586	0.0678326135852063	584	248	12	12	0.0205479452054795	0.0483870967741935	0.0490568673441047	0.0395441785002474	0.0302933166568026	0.00925655883048414	0.0426122098757728	"NA"	NA
"ZNF106"	"ZNF106"	0.731321395235738	0.833018608781537	0.101697213545799	584	248	102	61	0.174657534246575	0.245967741935484	0.0229051660865512	0.0217300612370173	0.0551922822665114	0.00926602549464692	0.0426397472555471	"NA"	NA
"MRPL1"	"MRPL1"	0.255823576546748	0.356789554932498	0.10096597838575	584	248	45	31	0.0770547945205479	0.125	0.0390032275031684	0.0348407279133431	0.0345663627573345	0.00929954801987407	0.0427734719535164	"NA"	NA
"RSL1D1"	"RSL1D1"	1.1066734282383	1.38781874345982	0.281145315221518	584	248	169	91	0.289383561643836	0.366935483870968	0.0335244068187057	0.0333596422987397	0.036112300198632	0.0093020765665501	0.0427734719535164	"NA"	NA
"IFT122"	"IFT122"	0.182117297393198	0.285579432475071	0.103462135081873	584	248	34	25	0.0582191780821918	0.100806451612903	0.0412090241980654	0.037818692550589	0.0320645455332469	0.00935545816688129	0.04300277465438	"NA"	NA
"STRN"	"STRN"	0.144437245803744	0.2624788216851	0.118041575881356	584	248	25	20	0.0428082191780822	0.0806451612903226	0.0413974527582617	0.0427829273316659	0.0283695740492576	0.00936280541796155	0.0430089173806429	"NA"	NA
"SSBP4"	"SSBP4"	0.976616905242566	1.10521939698075	0.128602491738179	584	248	182	99	0.311643835616438	0.399193548387097	0.0181625961040569	0.016239517640964	0.0747488458932986	0.00936382444442894	0.0430089173806429	"NA"	NA
"SEC11C"	"SEC11C"	0.430768021716938	0.590768696648962	0.160000674932024	584	248	66	42	0.113013698630137	0.169354838709677	0.035816413311909	0.0319581791975146	0.0381801133789178	0.00940598313193693	0.0431863450665592	"NA"	NA
"ZMAT2"	"ZMAT2"	0.122328705382235	0.220087953295925	0.09775924791369	584	248	20	17	0.0342465753424658	0.0685483870967742	0.0442593833551205	0.0413105418761338	0.029608552847284	0.00942596127650328	0.0432618387769295	"NA"	NA
"LSM14A"	"LSM14A"	0.985446894997721	1.11217652148545	0.126729626487725	584	248	182	99	0.311643835616438	0.399193548387097	0.0181625961040569	0.016239517640964	0.0754229335823307	0.00943727166778242	0.0432975088590123	"NA"	NA
"NUCKS1"	"NUCKS1"	0.323272429736434	0.460284178174034	0.1370117484376	584	248	59	38	0.101027397260274	0.153225806451613	0.0425729466341023	0.0341341854219277	0.035990855198463	0.00946198369074422	0.0433946148575511	"NA"	NA
"ZNF738"	"ZNF738"	0.300149418391575	0.450119346244373	0.149969927852798	584	248	65	41	0.111301369863014	0.165322580645161	0.0429708126716335	0.0403239749157028	0.0305423712921072	0.00948256346882007	0.0434727038608027	"NA"	NA
"GNL1"	"GNL1"	0.178154656255059	0.258895527262877	0.0807408710078179	584	248	34	25	0.0582191780821918	0.100806451612903	0.0412090241980654	0.037818692550589	0.0326372492534644	0.00950070448722605	0.0435395580920217	"NA"	NA
"NPTN"	"NPTN"	0.130218550593044	0.170011225371925	0.0397926747788813	584	248	27	21	0.0462328767123288	0.0846774193548387	0.0441230029864803	0.0347250319793297	0.0356353651317283	0.0095217372251157	0.0436196093921811	"NA"	NA
"INHBA"	"INHBA"	0.20213101166091	0.0644912525680481	-0.137639759092862	584	248	31	5	0.0530821917808219	0.0201612903225806	0.0513497527367135	0.038993693285076	0.0317821972274293	0.00953422853029673	0.0436604866379906	"NA"	NA
"LAP3"	"LAP3"	0.378351616954931	0.547533488386259	0.169181871431328	584	248	73	45	0.125	0.181451612903226	0.042735357455779	0.0387850172768941	0.0322788333050974	0.00961869860422949	0.044023959208193	"NA"	NA
"MGAT1"	"MGAT1"	0.126718630159139	0.217661640118829	0.0909430099596897	584	248	29	22	0.0496575342465753	0.0887096774193548	0.0465924473888469	0.0394015230654091	0.0317817419152939	0.00962079657753416	0.044023959208193	"NA"	NA
"RP11-488L18.10"	"RP11-488L18.10"	0.29407998058352	0.188253730246938	-0.105826250336582	584	248	92	25	0.157534246575342	0.100806451612903	0.0409548682668334	0.0378524946696181	0.0334147473806546	0.0097048201493962	0.0443918427469203	"NA"	NA
"TOB1"	"TOB1"	0.415084876662644	0.243065598788584	-0.172019277874061	584	248	96	27	0.164383561643836	0.108870967741935	0.0503761946013734	0.0423980841661428	0.0299106320397452	0.00972698253683435	0.0444765913007119	"NA"	NA
"CD244"	"CD244"	0.533252119100981	0.608107437069205	0.0748553179682245	584	248	86	53	0.147260273972603	0.213709677419355	0.0245351586335398	0.025059311519225	0.0508696541127143	0.00977102209059273	0.0446612724320107	"NA"	NA
"ILF3"	"ILF3"	1.37923844527118	1.55304503492042	0.173806589649249	584	248	208	111	0.356164383561644	0.44758064516129	0.0162746959591692	0.0156005679167218	0.0817876414234745	0.00977885389205358	0.0446803794709364	"NA"	NA
"CTU1"	"CTU1"	0.156513786655987	0.237396016535206	0.0808822298792191	584	248	34	25	0.0582191780821918	0.100806451612903	0.0412090241980654	0.037818692550589	0.0337792442679673	0.00978920358352639	0.0447109723956808	"NA"	NA
"SUN2"	"SUN2"	0.0817737279936174	0.0274671638949084	-0.054306564098709	584	248	31	5	0.0530821917808219	0.0201612903225806	0.0513497527367135	0.038993693285076	0.0327925306339116	0.0097972985681227	0.0447312482386378	"NA"	NA
"DRG1"	"DRG1"	1.07715993648384	1.30302755402786	0.225867617544016	584	248	151	84	0.258561643835616	0.338709677419355	0.023529390727104	0.0228867866644213	0.0560840442009412	0.00982981052933462	0.0448514984996148	"NA"	NA
"HLA-A"	"HLA-A"	4.91800168107239	5.29895454275044	0.380952861678046	584	248	551	243	0.943493150684932	0.979838709677419	0.0343969230601382	0.0276769259541746	0.0463836675949179	0.00983096755279233	0.0448514984996148	"NA"	NA
"THUMPD2"	"THUMPD2"	0.558078611595827	0.773468449527729	0.215389837931902	584	248	104	60	0.178082191780822	0.241935483870968	0.043129638592775	0.0364469404638356	0.0353091120929959	0.00985194807692023	0.044930464654937	"NA"	NA
"FOPNL"	"FOPNL"	0.343148914139536	0.460635016507828	0.117486102368292	584	248	66	42	0.113013698630137	0.169354838709677	0.035816413311909	0.0319581791975146	0.0404998366149181	0.00990112396486979	0.045137910892007	"NA"	NA
"ARMCX5"	"ARMCX5"	0.102850220631855	0.163680017528901	0.0608297968970462	584	248	20	17	0.0342465753424658	0.0685483870967742	0.0442593833551205	0.0413105418761338	0.0315804848263758	0.00996961508904012	0.0454332254113575	"NA"	NA
"ATP5J"	"ATP5J"	2.98217587726698	3.37947579415202	0.397299916885032	584	248	392	186	0.671232876712329	0.75	0.0296804047814092	0.0262480145788904	0.0497401519497364	0.0099760791932063	0.0454457576351721	"NA"	NA
"PHF21A"	"PHF21A"	0.0912173356761482	0.12810977692511	0.036892441248962	584	248	20	17	0.0342465753424658	0.0685483870967742	0.0442593833551205	0.0413105418761338	0.0316504450960805	0.00998880748868089	0.0454868062640489	"NA"	NA
"HK1"	"HK1"	0.442508767851859	0.597324782470592	0.154816014618733	584	248	79	48	0.13527397260274	0.193548387096774	0.0421062132353496	0.0353658371223474	0.037092123407937	0.0100173306887534	0.045599724072763	"NA"	NA
"CMC2"	"CMC2"	0.975087007877188	1.17624636365447	0.201159355777283	584	248	156	86	0.267123287671233	0.346774193548387	0.0257148566575628	0.0241655347464956	0.0543484806731863	0.0100277229780354	0.0456300551726444	"NA"	NA
"DFFA"	"DFFA"	0.527060972202876	0.616232746389528	0.0891717741866516	584	248	79	49	0.13527397260274	0.19758064516129	0.0297499687976648	0.027192280441585	0.0486487518366903	0.0100907917470999	0.0458930713967898	"NA"	NA
"KCTD3"	"KCTD3"	0.19679184038525	0.308438324844408	0.111646484459158	584	248	40	28	0.0684931506849315	0.112903225806452	0.045447524592563	0.0379023780364562	0.034910935353607	0.0100930251004218	0.0458930713967898	"NA"	NA
"TRPV2"	"TRPV2"	0.430757053297622	0.558366661471226	0.127609608173604	584	248	78	48	0.133561643835616	0.193548387096774	0.0355449706350431	0.0341100106123812	0.0391738610733253	0.0101792098372287	0.0462584494100405	"NA"	NA
"MEI1"	"MEI1"	0.359604413437154	0.522729672810036	0.163125259372882	584	248	63	40	0.107876712328767	0.161290322580645	0.0428994140700099	0.0381258821568864	0.0350544684744771	0.0101809418323994	0.0462584494100405	"NA"	NA
"BTBD7"	"BTBD7"	0.0740072001419391	0.201062709308291	0.127055509166352	584	248	17	15	0.0291095890410959	0.0604838709677419	0.0505287107308423	0.0465541934702979	0.0287681777090537	0.0101994471768571	0.046325328751308	"NA"	NA
"CIRBP"	"CIRBP"	3.18084982673791	3.50944208017678	0.328592253438868	584	248	394	193	0.674657534246575	0.778225806451613	0.00355953279487871	0.00273554184427427	0.491443812859886	0.0102330832933399	0.0464608560954755	"NA"	NA
"SEPHS1"	"SEPHS1"	0.341796251810848	0.463225848383265	0.121429596572417	584	248	59	38	0.101027397260274	0.153225806451613	0.0425729466341023	0.0341341854219277	0.0394833349931511	0.0102553369170324	0.0465428105062483	"NA"	NA
"VEZT"	"VEZT"	0.446742586893106	0.635696173095162	0.188953586202056	584	248	87	52	0.148972602739726	0.209677419354839	0.0408090374395332	0.0417664323328956	0.0322806263726231	0.0102587414134809	0.0465428105062483	"NA"	NA
